epoch,train,val
1,0.048863290977073176,0.03988108885559169
2,0.03140267238688557,0.025581334671005606
3,0.027407591724470597,0.024579671076075598
4,0.02610288147248974,0.027279972890391947
5,0.025910268748204592,0.026306748487563297
6,0.024770260675806025,0.025846787294457583
7,0.024307411837021578,0.024697167267599567
8,0.023921425252319335,0.023604626976884903
9,0.023577010254779634,0.025078727029771968
10,0.023551667226078713,0.024036093593829057
11,0.023169164374134753,0.024676036936315624
12,0.0228482870040589,0.02407751791814173
13,0.02257493103388697,0.027220733686011623
14,0.022199418785403477,0.025400698405097833
15,0.02243154011156461,0.02312713214407929
16,0.022178158385160306,0.025637226618445395
17,0.022215924037569394,0.02343755072215572
18,0.022078847987832478,0.02668036745268513
19,0.02170239985478217,0.023496773079122332
20,0.02169989472091385,0.024137186248448083
21,0.021544949519958296,0.024447961346330968
22,0.021562455586672306,0.022096746711229735
23,0.02144251211778129,0.022044012757991865
24,0.021139159879953382,0.026294039308347485
25,0.02109261369013725,0.023372125522953206
26,0.02113587524237953,0.030469942569140006
27,0.020778119859081526,0.023369840265844356
28,0.020688569774961772,0.024001183081418277
29,0.020687196899703,0.022834150423295795
30,0.020750418882689452,0.02342854271515865
31,0.020478151721633187,0.0224725153953345
32,0.020515650776044794,0.023781513920138504
33,0.020436969338533506,0.02424499637616629
34,0.020229668834897345,0.024757138253401288
35,0.020086625637699206,0.023762042121961712
36,0.02015006224801296,0.022906878192655064
37,0.01982519001387417,0.02363648762799461
38,0.019656897970096773,0.022945969824848526
39,0.019782506177184855,0.025976935331709684
40,0.019562669558722746,0.02224475994113494
41,0.019352049096359885,0.023717813058332964
42,0.01952849173084854,0.026234107070856473
43,0.019300755063395045,0.025185473661192437
